arm,seed,games,updates,decisions,return_mean,policy_loss,value_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,replay_loss,ref_kl,entropy_coef,replay_coef,kl_coef,rollout_s,update_s,games_per_s
R0,202,9837,57,8453,-0.41922172810173497,-0.025447248674019467,0.04196670705621234,1.0671462433372714,0.02433213030034292,0.20728523988618436,0.8805678512803015,0.8241215893700605,0.0,0.0,0.00226,0.0,0.0,12.9,12.6,6.36
R0,202,9990,58,8203,-0.4386008737796064,-0.015870044008054696,0.03770675708683087,1.096661004998613,0.027295645698412207,0.22098251587566842,1.0553385798387127,0.8561262766354338,0.0,0.0,0.0021303999999999993,0.0,0.0,12.1,12.8,6.14
R0,202,10143,59,8430,-0.46219042725251236,-0.024064311094529858,0.03304298211015299,1.0826723170272794,0.023268484782119323,0.21195412907810185,0.8559114576267595,0.8650499856888334,0.0,0.0,0.0020079999999999994,0.0,0.0,12.3,15.3,5.54
R1,101,130,1,8236,-0.22463289735095757,-0.009093955299330473,0.07420620939809709,0.6301648052139314,0.003999387824364727,0.043631976938502674,0.5867114683868306,-0.041626503938106296,0.0,0.0,0.01,0.0,0.0,11.8,15.4,4.76
R1,101,260,2,8567,-0.29005130592317696,-0.014277908583797782,0.055604319357691015,0.6388832454409453,0.003472496026442535,0.040303002450980396,0.5142878304532226,0.08342631394610878,0.0,0.0,0.009965333333333333,0.0,0.0,11.3,13.4,5.28
R1,101,400,3,8750,-0.3021689382515461,-0.01657341464406512,0.05863482439782793,0.6451507884579274,0.003384054534531946,0.03474345184178743,0.5866569231689864,0.19992923907926352,0.0,0.0,0.009930666666666668,0.0,0.0,10.9,13.2,5.81
R1,101,530,4,8653,-0.34639807939766626,-0.013646358955555086,0.04883541158354646,0.6308417639752043,0.0030909925470534415,0.03440859464718642,0.5476386076532076,0.22626794834305397,0.0,0.0,0.009893333333333334,0.0,0.0,10.9,16.2,4.79
R1,101,660,5,8284,-0.3607091643627844,-0.013337433027237765,0.05570075685320702,0.6400908100025025,0.0029499622667224427,0.033209369005754476,0.5932195275784181,0.2463891635150488,0.0,0.0,0.009858666666666667,0.0,0.0,13.6,15.2,4.51
R1,101,790,6,8578,-0.3596346992011661,-0.01384435689419923,0.0498138193104339,0.6122647585372131,0.0029573619914907124,0.03276097821738799,0.5776317491542411,0.348219412727534,0.0,0.0,0.009824,0.0,0.0,12.2,18.1,4.28
R1,101,920,7,9093,-0.35322866770677325,-0.01325922537055448,0.04899098199519192,0.6249242128025123,0.003248807219568258,0.035068314744894316,0.6116773775959738,0.4306170952137439,0.0,0.0,0.009789333333333334,0.0,0.0,14.0,18.4,4.01
R1,101,1050,8,8692,-0.385561597484056,-0.01310184418542993,0.046828338067642854,0.6120073410263097,0.003031005194741657,0.03520863970588235,0.5429825232879582,0.4382819370837634,0.0,0.0,0.009754666666666667,0.0,0.0,13.3,18.1,4.14
R1,101,1190,9,8852,-0.379947614984709,-0.011697483782047598,0.05229925628581229,0.6196803208398752,0.0032812202571000856,0.03685130442942943,0.5784486456716356,0.4416723154858305,0.0,0.0,0.00972,0.0,0.0,14.4,17.3,4.41
R1,101,1320,10,8423,-0.3933626781126303,-0.015996424323608063,0.05174178225057996,0.6223720281063677,0.003174428060251786,0.03638298359116374,0.557213771142479,0.42452063455121636,0.0,0.0,0.009682666666666668,0.0,0.0,13.2,16.6,4.36
R1,101,1450,11,8319,-0.3902507131452161,-0.01309165541353014,0.04934179602589048,0.5988513265333143,0.0034073176734256776,0.03586910896248263,0.5861122628868083,0.4262540654792808,0.0,0.0,0.009648,0.0,0.0,11.8,18.5,4.29
R1,101,1590,12,8783,-0.38721856870053184,-0.009709409422519917,0.04344848009111949,0.6094696688376193,0.003288471468512245,0.03711521239890999,0.6432043837396552,0.5708955257138861,0.0,0.0,0.009613333333333333,0.0,0.0,13.9,18.3,4.36
R1,101,1720,13,8356,-0.4043700128964175,-0.014269174423786286,0.047416320905120414,0.5962325413963773,0.003366915749886481,0.0366435112535868,0.5848922407567749,0.5228354341555175,0.0,0.0,0.009576,0.0,0.0,15.1,14.2,4.45
R1,101,1850,14,8422,-0.3296703977966602,-0.012699905115785216,0.052066079517100426,0.5877537307804103,0.003439924961237015,0.03685861572890026,0.5868518332870067,0.5844553849464258,0.0,0.0,0.009541333333333334,0.0,0.0,12.1,16.4,4.57
R1,101,1980,15,8596,-0.2982608752039914,-0.014450477053241508,0.04799674832580871,0.6022280488995326,0.0040974724557359095,0.04001176197582994,0.6003828248596949,0.6323695234638749,0.0,0.0,0.009506666666666667,0.0,0.0,14.0,17.4,4.13
R1,101,2110,16,8710,-0.3262774224981114,-0.016174784616585385,0.05542502635528565,0.5931943416186165,0.0042974424907118785,0.043475115740740734,0.7865304709324943,0.5061507227857958,0.0,0.0,0.009472,0.0,0.0,13.5,19.3,3.97
R1,101,2240,17,9066,-0.32014528913872087,-0.013757837953751748,0.04338684006976365,0.5900220896798127,0.003537839155565623,0.03797563209791283,0.5916611473374521,0.6416575706766354,0.0,0.0,0.009437333333333334,0.0,0.0,14.1,18.6,3.97
R1,101,2370,18,8381,-0.38919252105111457,-0.012418824301826954,0.04658358272710889,0.580529408180579,0.0037885516247409367,0.03978724736422347,0.5769047200666038,0.6351843366092356,0.0,0.0,0.009402666666666667,0.0,0.0,13.9,15.6,4.41
R1,101,2500,19,8758,-0.35984861356877795,-0.014338178141142792,0.048942104995298434,0.5689120209488103,0.0041144031083370025,0.04227249710648148,0.6868736277573667,0.61319832054353,0.0,0.0,0.009368,0.0,0.0,12.9,21.8,3.75
R1,101,2630,20,8535,-0.3540368783797465,-0.01402859960639556,0.048338554263028397,0.5723881741210867,0.003563574980895745,0.03650863247084549,0.5645050916953743,0.6193289776056689,0.0,0.0,0.009333333333333334,0.0,0.0,13.7,18.8,4.0
R1,101,2760,21,8752,-0.3467891788551758,-0.01430437763781712,0.05283506782642923,0.5840656445141441,0.0038404603626796866,0.039876302083333336,0.641181522211011,0.5581139189746737,0.0,0.0,0.009298666666666667,0.0,0.0,13.7,20.4,3.81
R1,101,2890,22,8926,-0.2795752894254396,-0.013817855575689245,0.04549678441350352,0.5649384436710836,0.0035619346838051628,0.04075731004441942,0.587012723996016,0.6827813571903218,0.0,0.0,0.009264,0.0,0.0,14.0,18.8,3.97
R1,101,3020,23,8574,-0.3252565293671873,-0.014995836589063042,0.050693160608880655,0.5760780034602514,0.00415383013803517,0.04195895369764398,0.5893086496869588,0.6409898528702963,0.0,0.0,0.009229333333333334,0.0,0.0,13.4,17.8,4.17
R1,101,3150,24,8557,-0.4024033166807546,-0.013853868576905057,0.04662601026575622,0.5663705946780663,0.003806882328511063,0.043054051672038685,0.5862618780056642,0.54935484696332,0.0,0.0,0.009194666666666667,0.0,0.0,13.7,18.3,4.06
R1,101,3280,25,9006,-0.29026314481927135,-0.015185006131800136,0.050506560351483966,0.5540785691060567,0.004385675119983786,0.0456196249540103,0.5810255632643568,0.6504287609604545,0.0,0.0,0.00916,0.0,0.0,14.8,18.1,3.94
